,Bank Name,MarketCap_USDollar_Billion,MarketCap_Argentine Peso_Billion,MarketCap_Australian Dollar_Billion,MarketCap_Bahraini Dinar_Billion,MarketCap_Botswana Pula_Billion,MarketCap_Brazilian Real_Billion,MarketCap_Bruneian Dollar_Billion,MarketCap_Bulgarian Lev_Billion,MarketCap_Canadian Dollar_Billion,MarketCap_Chilean Peso_Billion,MarketCap_Chinese Yuan Renminbi_Billion,MarketCap_Colombian Peso_Billion,MarketCap_Czech Koruna_Billion,MarketCap_Danish Krone_Billion,MarketCap_Euro_Billion,MarketCap_Hong Kong Dollar_Billion,MarketCap_Hungarian Forint_Billion,MarketCap_Icelandic Krona_Billion,MarketCap_Indian Rupee_Billion,MarketCap_Indonesian Rupiah_Billion,MarketCap_Iranian Rial_Billion,MarketCap_Israeli Shekel_Billion,MarketCap_Japanese Yen_Billion,MarketCap_Kazakhstani Tenge_Billion,MarketCap_South Korean Won_Billion,MarketCap_Kuwaiti Dinar_Billion,MarketCap_Libyan Dinar_Billion,MarketCap_Malaysian Ringgit_Billion,MarketCap_Mauritian Rupee_Billion,MarketCap_Mexican Peso_Billion,MarketCap_Nepalese Rupee_Billion,MarketCap_New Zealand Dollar_Billion,MarketCap_Norwegian Krone_Billion,MarketCap_Omani Rial_Billion,MarketCap_Pakistani Rupee_Billion,MarketCap_Philippine Peso_Billion,MarketCap_Polish Zloty_Billion,MarketCap_Qatari Riyal_Billion,MarketCap_Romanian New Leu_Billion,MarketCap_Russian Ruble_Billion,MarketCap_Saudi Arabian Riyal_Billion,MarketCap_Singapore Dollar_Billion,MarketCap_South African Rand_Billion,MarketCap_Sri Lankan Rupee_Billion,MarketCap_Swedish Krona_Billion,MarketCap_Swiss Franc_Billion,MarketCap_Taiwan New Dollar_Billion,MarketCap_Thai Baht_Billion,MarketCap_Trinidadian Dollar_Billion,MarketCap_Turkish Lira_Billion,MarketCap_Emirati Dirham_Billion,MarketCap_British Pound_Billion
0,JPMorgan Chase,599.931,633297.02,952.9,225.57,8320.58,3457.92,811.73,1132.44,857.33,576890.88,4384.11,2484611.15,14531.69,4318.71,579.01,4674.49,233244.0,84887.42,52064.57,9807914.47,25244424.17,2153.91,91455.84,304930.96,869946.7,185.26,2951.71,2681.58,28191.11,12332.0,83342.36,1060.74,6716.05,230.98,167511.32,34889.1,2416.14,2183.75,2881.97,57893.05,2249.74,811.73,11104.06,178532.63,6515.04,547.96,19695.01,20433.14,4078.5,21624.52,2203.25,481.98
1,Bank of America,307.9,325024.3,489.05,115.77,4270.33,1774.69,416.6,581.2,440.01,296075.22,2250.04,1275166.26,7458.03,2216.47,297.16,2399.07,119706.81,43566.4,26720.88,5033673.65,12956086.95,1105.44,46937.49,156498.4,446478.99,95.08,1514.89,1376.26,14468.4,6329.1,42773.44,544.4,3446.85,118.55,85971.11,17905.98,1240.03,1120.76,1479.1,29712.2,1154.62,416.6,5698.89,91627.53,3343.68,281.23,10107.98,10486.81,2093.19,11098.26,1130.76,247.36
2,Industrial and Commercial Bank of China,303.543,320424.98,482.13,114.13,4209.91,1749.58,410.7,572.97,433.78,291885.55,2218.2,1257121.77,7352.5,2185.11,292.96,2365.12,118012.88,42949.91,26342.76,4962443.65,12772749.28,1089.8,46273.29,154283.84,440161.0,93.73,1493.46,1356.78,14263.67,6239.54,42168.17,536.7,3398.08,116.87,84754.56,17652.6,1222.48,1104.9,1458.17,29291.75,1138.29,410.7,5618.25,90330.94,3296.37,277.25,9964.95,10338.41,2063.57,10941.21,1114.76,243.86
3,Agricultural Bank of China,232.836,245785.51,369.82,87.55,3229.26,1342.04,315.03,439.51,332.74,223894.02,1701.49,964289.1,5639.81,1676.11,224.72,1814.19,90523.08,32945.2,20206.5,3806497.04,9797477.95,835.94,35494.44,118345.12,337630.34,71.9,1145.57,1040.74,10941.1,4786.11,32345.56,411.68,2606.53,89.65,65011.92,13540.62,937.72,847.52,1118.51,22468.56,873.14,315.03,4309.54,69289.34,2528.52,212.67,7643.72,7930.19,1582.88,8392.58,855.09,187.06
4,Bank of China,209.295,220935.24,332.43,78.69,2902.76,1206.35,283.18,395.07,299.09,201257.11,1529.46,866794.16,5069.6,1506.65,202.0,1630.77,81370.7,29614.26,18163.51,3421639.25,8806899.06,751.43,31905.75,106379.78,303494.06,64.63,1029.75,935.51,9834.9,4302.2,29075.24,370.06,2343.0,80.58,58438.86,12171.59,842.91,761.83,1005.42,20196.87,784.86,283.18,3873.82,62283.81,2272.87,191.17,6870.9,7128.41,1422.84,7544.04,768.64,168.15
5,China Construction Bank,192.715,203433.12,306.1,72.46,2672.81,1110.78,260.75,363.77,275.4,185313.86,1408.3,798128.18,4667.99,1387.29,185.99,1501.58,74924.65,27268.27,16724.63,3150582.71,8109231.24,691.9,29378.23,97952.55,279451.77,59.51,948.17,861.4,9055.79,3961.39,26771.95,340.74,2157.39,74.2,53809.43,11207.38,776.13,701.48,925.77,18596.9,722.68,260.75,3566.94,57349.79,2092.82,176.02,6326.6,6563.71,1310.13,6946.41,707.75,154.83
6,Wells Fargo,192.279,202972.87,305.41,72.3,2666.76,1108.27,260.16,362.95,274.78,184894.6,1405.12,796322.49,4657.43,1384.16,185.57,1498.18,74755.13,27206.58,16686.79,3143454.81,8090884.84,690.33,29311.77,97730.94,278819.53,59.38,946.03,859.45,9035.3,3952.43,26711.38,339.97,2152.51,74.03,53687.69,11182.02,774.38,699.9,923.68,18554.83,721.05,260.16,3558.87,57220.04,2088.08,175.62,6312.29,6548.86,1307.17,6930.7,706.14,154.48
7,HSBC,163.544,172639.73,259.76,61.49,2268.23,942.65,221.28,308.71,233.71,157263.16,1195.13,677316.63,3961.41,1177.3,157.84,1274.29,63583.41,23140.71,14193.05,2673683.41,6881748.25,587.17,24931.29,83125.61,237151.54,50.5,804.65,731.01,7685.03,3361.76,22719.52,289.16,1830.83,62.97,45664.37,9510.93,658.65,595.3,785.64,15781.92,613.29,221.28,3027.02,48668.83,1776.03,149.38,5368.95,5570.17,1111.82,5894.95,600.62,131.39
8,Commonwealth Bank,156.639,165350.7,248.8,58.9,2172.46,902.85,211.94,295.68,223.85,150623.34,1144.67,648719.61,3794.15,1127.59,151.18,1220.49,60898.85,22163.68,13593.8,2560797.68,6591193.58,562.38,23878.67,79615.96,227138.76,48.37,770.68,700.15,7360.56,3219.82,21760.28,276.96,1753.53,60.31,43736.37,9109.37,630.84,570.17,752.47,15115.59,587.4,211.94,2899.22,46613.98,1701.04,143.07,5142.27,5334.99,1064.87,5646.05,575.26,125.84
9,Goldman Sachs,156.356,165051.96,248.35,58.79,2168.54,901.22,211.55,295.14,223.44,150351.21,1142.6,647547.57,3787.3,1125.56,150.9,1218.28,60788.82,22123.64,13569.24,2556171.08,6579285.26,561.36,23835.52,79472.11,226728.38,48.28,769.29,698.88,7347.26,3214.01,21720.96,276.45,1750.36,60.2,43657.35,9092.91,629.7,569.14,751.11,15088.28,586.34,211.55,2893.98,46529.76,1697.97,142.81,5132.98,5325.35,1062.95,5635.85,574.22,125.62
